INDEX,NAME,루테인(mg),비타민A(ug),비타민D(ug),비타민E(mg),비타민K(ug),비타민C(mg),비타민B2(mg),아연(mg),셀렌(ug),철(mg),마그네슘(mg),EPA(mg),프로바이오틱스(CFU),실리마린(mg),나이아신(mg),올리고당(g),칼슘(mg),비타민B6(mg),베타카로틴(mg),판토텐산(mg),비오틴(ug),망간(mg),크롬(ug),엽산(ug),구리(mg),몰리브덴(ug)
0,우유,0,0,0,0,0,0.0430517711,0.487951807,0.274390244,0.313606474,0.02787068,0.149253731,0,0,0,0.143142477,0,0.590386625,0,0,0.103917148,0.137530562,0,0,0.00783085356,0,0.0437700613
1,요구르트,0,0,0,0,0,0.0250681199,0.192771084,0.0838414634,0.0720789074,0.011148272,0.0597014925,0,0,0,0.00951112802,0,0.235109718,0,0,0,0,0.000258870634,0,0.101801096,0.00264550265,0.0518987869
2,치즈,0,0,0,0.0113341969,0,0.00326975477,0.984939759,2.87347561,1.266439049,0.016722408,0.52238806,0,0,0,0.115084649,0,5,0,0.0212112346,0.0267718754,0,0.00258870634,0,0.0978856695,0.044973545,0.168827379
3,계란흰자,0,0,0,0,0,0,0.569277108,0.0228658537,1.388467375,0.0390189521,0.179104478,0,0,0,0.0204489252,0,0.0470219436,0.0155359917,0,0.0295899676,0.100244499,0,0,0,0,0.0950435616
4,브로콜리,0,0,0,0.0825777202,0.705792247,1.589645777,0.430722892,0.579268293,0.0493171472,0.445930881,0.343283582,0,0,0,0.486969755,0,0.00417972832,0,0.0965476887,0.114132732,0,0.0262322242,0,0.168363352,0.0661375661,0.172995956
5,양파,0,0,0,0,0,0.320435967,0.0331325301,0.114329268,0.0739757208,0.11148272,0.119402985,0,0,0,0.0470800837,0,0.0078369906,0,0.000731421884,0.037339721,0.0348410758,0.0151870772,0,0.0430696946,0.0185185185,0.0110467298
6,마늘,0,0,0,0.0161917098,0,0.460490463,0.484939759,0.50304878,0.218765807,0.434782609,0.358208955,0,0,0,0.236827088,0,0.0626959248,0,0,0.381851487,0.234718826,0.021658843,0,0.360219264,0.0925925926,0.224894743
7,캐슈넛,0,0,0,0.534326425,0.108309673,0,0.542168675,4.115853659,1.707132018,2.675585284,3.582089552,0,0,0,0.428000761,0,0.198537095,0.932159503,0,0.464985205,1.161369193,0,0,0.246671887,5,0.62528659
8,아몬드,0,0,0,0.720531088,0,0,4.656626506,3.056402439,0,2.65328874,5,0,0,0,1.801883203,0,1.922675026,0,0.00621708602,0.170846837,1.55195599,0.212187629,0,0.289741582,3.248677249,0.556505065
9,땅콩,0,0,0,1.502590674,0,0,0.638554217,2.576219512,0.289580172,1.711259755,2.71641791,0,0,0,5,0,0.350052247,0,0.00146284377,0.301888122,0,0.137546597,0,0.348472984,1.978835979,4.629413481
10,검은콩,0,0,0,1.544689119,0.112212689,0.249046322,2.09939759,3.422256098,0.346484573,4.280936455,3.119402985,0,0,0,0.626783337,0,0.825496343,0,0.0365710942,0.316683106,0,0.232293249,0,1.898981989,3.034391534,0.79202968
11,시금치,0,0,0,0,0,3.269754768,1.024096386,0,0,1.449275362,0,0,0,0,0.2377782,0,0.208986416,0,1.051784669,0,0,0,0,0,0,0
12,계란 노른자,0,0,0,0.441224093,0.13747592,0,1.162650602,3.338414634,4.743930197,4.180602007,0.179104478,0,0,0,0.104622408,0,0.820271682,0.95546349,0.00146284377,1.737353811,4.26405868,0.0146693359,0,0.896632733,0.404761905,0.34828463
13,옥수수,0,0,0,0.0833873057,0,0.189100817,0.289156627,0.922256098,0.0727111786,0.624303233,0.955223881,0,0,0,2.850485068,0,0.026123302,0.10616261,0.00365710942,0.0394532901,0.0378973105,0.0403838189,0,0.250587314,0.314814815,0.27679353
14,케일,0,0,0,0.0453367876,0,0,0.536144578,0.419207317,0.0986342944,0.451505017,0.925373134,0,0,0,0.16787141,0,1.71368861,0,1.150160913,0,1.347188264,0.027353997,0,0.411119812,0.0767195767,0.578806953
15,토마토,0,0,0,0.0275259067,0,0.771662125,0.111445783,0.114329268,0.0164390491,0.105908584,0.149253731,0,0,0,0.147898041,0,0.0470219436,0,0.138970158,0.104973933,0.144254279,0.00621289521,0,0.0587314017,0,0.0293884697
16,아보카도,0,0,0,0.291450777,0,0.817438692,0.63253012,0.533536585,0.0632271118,0.390189521,0.492537313,0,0,0,0.951112802,0,0.0470219436,0.828586225,0.0193826799,0.581231506,0.32396088,0.015532238,0,0.32889585,0.634920635,0.0416857726
17,양송이버섯,0,0,0,0,0,0,1.165662651,0.442073171,0.703085483,0.345596433,0.164179104,0,0,0,1.618318433,0,0.0104493208,0.235629208,0,0.451247006,0.291564792,0.00465967141,0,0.140955364,0.812169312,0.0358497645
18,헤이즐넛,0,0,0,2.291126943,0.0154728104,0,0.843373494,1.524390244,0.0632271118,1.672240803,2.388059701,0,0,0,0.475556401,0,0.679205852,1.009839461,0,0.376919825,5,0.452160707,0,0.211433046,4.338624339,0.125057318
19,밀,0,0,0,0,0,0,0.361445783,0,0,2.619843924,0,0,0,0,1.141335362,0,0.271682341,0,0,0,0,0,0,0,0,0
20,보리,0,0,0,0.290641192,0,0.025613079,0.545180723,2.050304878,0.171345473,1.878483835,1.164179104,0,0,0,0.459387483,0,0.177638454,0,0,0,0,0.131592572,0,0.293657009,0.96031746,0.337863187
21,호밀,0,0,0,0.0809585492,0,0,0.210843373,0.533536585,0,0.836120401,0.447761194,0,0,0,0.428000761,0,0.13061651,0.258933195,0,0.221924757,0,0,0,0.133124511,0.291005291,0
22,감자,0,0,0,0,0,0.572752044,0.0813253012,0.350609756,0.280096105,0.323299889,0.373134328,0,0,0,0.14932471,0,0.0470219436,0,0,0.122587009,0,0.0111314372,0,0.0861393892,0.394179894,0.0366834799
23,고구마,0,0,0,0.0178108808,0,0.789645777,0.102409639,0.152439024,0.22066262,0.289855072,0.402985075,0,0,0,0.35809397,0,0.109717868,0,0.327677004,0.108848809,0,0.0404701091,0,0.168363352,0.293650794,0.0356413356
24,조청,0,0,0,0,0,0.653950954,0.120481928,0,0,0.501672241,0,0,0,0,0.856001522,0,0.0156739812,0,0,0,0,0,0,0,0,0
25,강낭콩,0,0,0,0.0696243523,0.0065372624,0.115531335,0.373493976,1.135670732,0.263657056,1.733556299,1.328358209,0,0,0,0.89452159,0,0.256008359,0,0.0193826799,0,0,0.0766257076,0,0.246671887,0.80952381,5
26,병아리콩,0,0,0,0.232351036,0,0,0.373493976,2.461890244,0.87696004,2.642140468,2.014925373,0,0,0,0.676716759,0,0.799373041,0,0.00841135167,0.225447372,0,0.177844125,0,0.787000783,2.177248677,0.992121389
27,완두,0,0,0,0.0688147668,0.0116046078,0.648501362,0.424698795,1.112804878,0.263024785,1.15942029,0.671641791,0,0,0,1.400989157,0,0.188087774,0,0.140067291,0.507256587,0,0.09802568,0,0.309318716,0.497354497,0.99920797
28,두부,0,0,0,0.504371762,0,0,0.539156627,0.891768293,0.0556398584,0.858416945,1.194029851,0,0,0,0.0756134678,0,0.334378265,0,0,0,0,0.0666160431,0,0.0822239624,0.333333333,0.918962858
29,유부,0,0,0,1.265382124,0.11569794,0.00871934605,0.15060241,2.027439024,1.441578149,2.564102564,0.970149254,0,0,0,0.394711813,0,3.051201672,0.116519938,0.00182855471,0,0.0397310513,0.174910258,0,0.133124511,0.634920635,1.769561049
30,밤,0,0,0,0.457415803,0,0.870844687,0.195783133,0.381097561,0.14162873,0.468227425,0.582089552,0,0,0,0.778961385,0,0.0835945664,0,0.0106056173,0.357897703,0,0.384250311,0,0.234925607,0.701058201,0.013756305
31,잣,0,0,0,1.085654145,0.055083205,0,0.186746988,5,0.519726859,3.383500557,3.47761194,0,0,0,0.465569717,0,0.0940438871,0.383221129,0.00548566413,0.08348598,0.00305623472,1.226960514,0,0.160532498,3.812169312,0.193421985
32,호두,0,0,0,1.57140544,0,0,0.84939759,2.225609756,0.29400607,1.387959866,1.925373134,0,0,0,1.365797984,0,0.423197492,0,0.00950848449,0,1.149144254,0.240145658,0,0.610806578,3.084656085,0.225936888
33,고추,0,0,0,0.0210492228,0.207382078,2.395095368,0.228915663,0.213414634,0.0290844714,0.2787068,0.28358209,0,0,0,0.265360472,0,0.078369906,0,0.167495611,0,0,0.0136338534,0,0.0978856695,0.203703704,0.0112551586
34,콜리플라워,0,0,0,0.0161917098,0.052027325,1.822343324,0.304216867,0.495426829,0.0417298938,0.183946488,0.343283582,0,0,0,0.132204679,0,0.0731452456,0.504919731,0.00329139848,0.356136396,0.373471883,0.0226080353,0,0.250587314,0.113756614,0.213014298
35,당근,0,0,0,0.0590997409,0.0559342096,0.164577657,0.186746988,0.0838414634,0.173242286,0.156075808,0.208955224,0,0,0,0.419440746,0,0.12539185,0,2.017261556,0.0655206425,0.054400978,0.00431451056,0,0.0861393892,0.0476190476,0.0477302097
36,들깻잎,0,0,0,0.0914831606,3.042380028,0.148773842,1.530120482,0.335365854,0.159332322,1.064659978,2.253731343,0,0,0,0.14266692,0,1.546499478,0,2.766603277,0.0898266873,0,0.0320136684,0,0.587314017,0.420634921,0.24011005
37,부추,0,0,0,0.0412888601,0.355333091,0.825613079,0.454819277,0.25152439,0.0335103692,0.462653289,0.253731343,0,0,0,0.0689556781,0,0.308254963,0,0.779330018,0.0683387347,0.224327628,0.0217451332,0,0.277995301,0.082010582,0.106924007
38,비트,0,0,0,0.0259067358,0,0.0959128065,0.0481927711,0.259146341,0.331310066,0.161649944,0.268656716,0,0,0,0.077040137,0,0.0470219436,0.183842569,0.000365710942,0.138438777,0,0.153941737,0,0.187940486,0.113756614,0.0175080245
39,생강,0,0,0,0.0412888601,0,0.0817438692,0.156626506,0.160060976,0.0676530096,0.529542921,0.552238806,0,0,0,0.236351531,0,0.0940438871,0,0.0069485079,0.0870085952,0,0.154977219,0,0,0.113756614,0.0550252199
40,쑥갓,0,0,0,0.00971502591,0.740257932,0.566757493,0.265060241,0.198170732,0.0720789074,0.440356745,0.268656716,0,0,0,0.0737112422,0,0.475444096,0,0.904037449,0,0.054400978,0.00983708408,0,0.45027408,0.19047619,0.143815916
41,아스파라거스,0,0,0,0.0663860104,0.209347125,0.762942779,0.292168675,0.754573171,0.096737481,0.261984392,0.194029851,0,0,0,0.0394711813,0,0.0574712644,0.245986535,0.075702165,0.123291532,0.0293398533,0.0174306227,0,0.877055599,0.126984127,0.129642753
42,양상추,0,0,0,0,0,0,0.0602409639,0,0,0.22296544,0,0,0,0,0.14266692,0,0.078369906,0,0.0285254535,0,0,0,0,0,0,0
43,연근,0,0,0,0.0275259067,0,1.544959128,0.373493976,0.182926829,0.0316135559,0.445930881,0.343283582,0,0,0,0.0646756705,0,0.146290491,0,0,0.117655347,0.214547677,0.16343366,0,0.0274079875,0.341269841,0.0573179374
44,콜라비,0,0,0,0.00890544041,0,0,0.105421687,0.160060976,0.0392008093,0.150501672,0.208955224,0,0,0,0.0680045653,0,0.219435737,0,0.0043885313,0.281809215,0,0.0104411156,0,0.0469851214,0.00529100529,0.102130143
45,파프리카,0,0,0,0.130343264,0.0383338878,5,0.445783133,0.198170732,0.0354071826,0.206243032,0.149253731,0,0,0,0.440840784,0,0.0313479624,0,0.123610298,0,0,0.00906047218,0,0.176194205,0.14021164,0.103380716
46,호박,0,0,0,0.318976684,0,0.661035422,0.409638554,0.449695122,0.0575366717,0.200668896,0.253731343,0,0,0,0.2377782,0,0.0626959248,0,1.342159157,0.253980555,0,0.00422822035,0,0.0743931088,0.14021164,0.0931677019
47,귤,0,0,0,0.0315738342,0,1.672479564,0.0722891566,0.129573171,0.0227617602,0.0668896321,0.134328358,0,0,0,0.17833365,0,0.0679205852,0.129466598,0.019016969,0.054952797,0.0152811736,0.00698950711,0,0.0822239624,0.0555555556,0.00812872567
48,딸기,0,0,0,0.0323834197,0,3.657220708,0.186746988,0.160060976,0.0271876581,0.183946488,0.194029851,0,0,0,0.19022256,0,0.0888192268,0,0.00329139848,0.0440326899,0,0.0137201436,0,0.211433046,0.322751323,0.134019759
49,레몬,0,0,0,0.0485751295,0,2.83760218,0.192771084,0.0990853659,0.240895296,0.0557413601,0.119402985,0,0,0,0.258702682,0,0.167189133,0,0,0.0778497957,0,0.00163951401,0,0.156617071,0.0899470899,0.00854558339
50,망고,0,0,0,0.0137629534,0,0.809264305,0.162650602,0.106707317,0.0309812848,0.100334448,0.179104478,0,0,0,0.142191364,0,0.0365726228,0,0.509069631,0,0,0.0221765843,0,0.0548159749,0.259259259,0.0102130143
51,바나나,0,0,0,0.0113341969,0,0.323705722,0.225903614,0.144817073,0.0170713202,0.161649944,0.417910448,0,0,0,0.234449306,0,0.0365726228,0,0.00914277355,0,0,0.0114765981,0,0.0939702428,0.224867725,0.129017466
52,블루베리,0,0,0,0.0939119171,0.100186447,0,0.394578313,0.0609756098,0.0518462317,0.128205128,0.0895522388,0,0,0,0.150751379,0,0.0470219436,0,0.00950848449,0,0.205378973,0.0437491371,0,0.0626468285,0.0873015873,0.0131310184
53,오렌지,0,0,0,0.0170012953,0,2.752588556,0.093373494,0.0838414634,0.103060192,0.0780379041,0.134328358,0,0,0,0.173578086,0,0.188087774,0.134645262,0.0043885313,0.0598844582,0.0464547677,0.00172580422,0,0.10963195,0.103174603,0.00896244112
54,피클,0,0,0,0.246923575,0,0.0136239782,0,0.0304878049,0.316135559,0.429208473,0.253731343,0,0,0,0.23254708,0,0.78892372,0,0.0899648917,0,0,0.00396934972,0,0.0156617071,0.148148148,0.0404351995
55,자두,0,0,0,0,0,0.272479564,0.0903614458,0,0,0.11148272,0,0,0,0,0.14266692,0,0.0156739812,0,0,0,0,0,0,0,0,0
56,키위,0,0,0,0.127104922,0.0434399152,4.955858311,0.156626506,0.0457317073,0.0973697521,0.958751394,0.194029851,0,0,0,0.0565912117,0,0.0992685475,0,0.0168227033,0.0799633648,0,0.00241612591,0,0.125293657,0.288359788,0.0114635875
57,파인애플,0,0,0,0,0,2.475749319,0.262048193,0.0838414634,0.691704603,0.0501672241,0.253731343,0,0,0,0.0651512269,0,0.0835945664,0,0.0226740784,0,0.209046455,0.313406047,0,0.090054816,0.285714286,0.0921255575
58,메추리알,0,0,0.143704086,0.112532383,0.028199197,0,0.93373494,1.288109756,2.262898331,1.46599777,0.149253731,0,0,0,0.0613467757,0,0.318704284,0.165717245,0.000365710942,0.747851205,0.708435208,0.00353789866,0,0.360219264,0.169312169,0.132769186
59,홍합(보류),0,0,0,0,0,0.217983651,0.993975904,0,0,3.400222965,0,0,0,0,1.188891002,0,0.224660397,0,0,0,0,0,0,0,0,0
60,들기름,0,0,0,5,0,0,0.186746988,0.426829268,0,2.998885173,0.805970149,0,0,0,0,0,0.39184953,0,0.0215769456,0.19022122,0.236552567,0.0824934419,0,0,0.439153439,0
61,마가린,0,0,0,0.459034974,0.0285473352,0,0.0301204819,0,0.499494183,0,0,0,0,0,0,0,0.104493208,0,0.0552223523,0,0.00855745721,0.000517741267,0,0,0,0.0506482138
62,버터,0,0,0,0.0647668394,0,0,0.138554217,0.0533536585,0,0.016722408,0,0,0,0,0,0,0.0835945664,0,0.00841135167,0,0,0,0,0,0.0105820106,0.0268873234
63,올리브유,0,0,0,0.907545337,0.222266921,0,0,0,0.153641882,0,0,0,0,0,0,0,0,0,0.0259654769,0,0,0.000517741267,0,0,0,0.201133853
64,녹차,0,0,0,1.692033679,5,0,5,2.256097561,0.509610521,5,3.552238806,0,0,0,1.428571429,0,1.776384535,0,5,0,0.636308068,5,0,5,1.997354497,0.0719079578
65,보리차,0,0,0,0.798251295,0,0,2.756024096,3.856707317,0.142261002,4.386845039,2.194029851,0,0,0,0.535476508,0,0.339602926,0,0,0,0,0.236003728,0,0.160532498,1.164021164,0.364333653
66,헛개차,0,0,0,0.00485751295,0,0.170027248,0.00301204819,0.0152439024,0,0.00557413601,0,0,0,0,0,0,0.0052246604,0,0,0,0,0.000776611901,0,0,0.00793650794,0
67,녹즙,0,0,0,0.0170012953,0.609744776,0.177656676,0.25,0.0838414634,0.021497218,0.133779264,0.268656716,0,0,0,0.0209244816,0,0.496342738,0,0.467378584,0.0500211357,0,0.0126846611,0,0.0548159749,0.0476190476,0.182166826
68,된장,0,0,0,0.270401554,0,0.228882834,0.397590361,0.990853659,4.377212949,1.209587514,1.029850746,0,0,0,0.541658741,0,0.480668757,0,0.0713136337,0.986332253,0,0.0707579732,0,0.348472984,0.664021164,1.700571095
69,카레,0,0,0,0.280926166,0,0,0.313253012,0.50304878,5,1.125975474,0.731343284,0,0,0,0.63819669,0,0.438871473,0.186431901,0.0138970158,0.397350993,0.0556234719,0.0873256938,0,0.195771339,0.420634921,0.266580516
70,목이버섯,0,0,0.596726382,0,0,0,3.530120482,1.768292683,0.347116844,4.024526198,3.701492537,0,0,0,0.954441697,0,3.145245559,0.561885034,0,1.216711286,0.0226161369,1.770157393,0,0.434612373,0.542328042,0.153820501
71,상황버섯,0,0,0,0,0,0,0,0.00762195122,0.0196004047,0.02787068,0.0298507463,0,0,0,0.125071333,0,0.0052246604,0.0621439669,0,0,0,0.00241612591,0,0.0313234143,0.0185185185,0.00166743091
72,표고버섯,0,0,5,0,0,0,3.894578313,3.87195122,0.507713708,1.872909699,1.970149254,0,0,0,0.902606049,0,0.172413793,5,0,5,0.210880196,0.169042524,0,0.642129992,0.947089947,0.292425695
73,멸치,0,0,0,0,0,0.0544959128,0.78313253,0,0,2.006688963,0,0,0,0,4.184896329,0,2.591431557,0,0,0,0,0,0,0,0,0
74,참굴,0,0,0,0,0,0.217983651,0.993975904,0,0,0.724637681,0,0,0,0,1.997336884,0,0.39184953,0,0,0,0,0,0,0,0,0
75,연어,0,0,0,0,0,0.0544959128,0.451807229,0,0,0.613154961,0,0,0,0,3.566673007,0,0.12539185,0,0,0,0,0,0,0,0,0
76,고등어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,꽁치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,청어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,참다랑어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,방어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,참가자미,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,대구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,삼치,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,꽃새우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,꽃게,0,0,0,0,0,0,0.210843373,0,0,1.672240803,0,0,0,0,1.236446643,0,0.616509927,0,0,0,0,0,0,0,0,0
86,꼬막,0,0,0,0,0,0,0.722891566,0,0,3.790412486,0,0,0,0,1.616891763,0,0.433646813,0,0,0,0,0,0,0,0,0
